isin,country,name,full_name,currency,symbol
BRINEPACNPR8,brazil,INEPAR PN,Inepar SA Industria e Construcoes,BRL,INEP4
BRITSAACNOR0,brazil,ITAUSA ON,Itausa - Investimentos Itau SA,BRL,ITSA3
BRITSAACNPR7,brazil,ITAUSA PN,Itausa - Investimentos Itau SA,BRL,ITSA4
BRITUBACNOR4,brazil,ITAUUNIBANCO ON,Itau Unibanco Holding SA ON,BRL,ITUB3
BRITUBACNPR1,brazil,ITAUUNIBANCOPN EB N1,Itau Unibanco Banco Holding SA,BRL,ITUB4
BRJBSSACNOR8,brazil,JBS ON,JBS SA,BRL,JBSS3
BRJFENACNOR0,brazil,JOAO FORTES ON,Joao Fortes Engenharia SA,BRL,JFEN3
BRJHSFACNOR2,brazil,JHSF PART ON,JHSF Participacoes SA,BRL,JHSF3
BRJSLGACNOR2,brazil,JSL ON,JSL SA,BRL,JSLG3
BRKEPLACNOR1,brazil,KEPLER WEBER ON,Kepler Weber SA,BRL,KEPL3
BRKLBNACNPR9,brazil,KLABIN S/A PN,Klabin SA,BRL,KLBN4
BRLAMEACNOR9,brazil,LOJAS AMERIC ON,Lojas Americanas SA,BRL,LAME3
BRLAMEACNPR6,brazil,LOJAS AMERIC PN,Lojas Americanas SA,BRL,LAME4
BRLEVEACNOR2,brazil,METAL LEVE ON,Mahle-Metal Leve SA,BRL,LEVE3
BRLIGTACNOR2,brazil,LIGHT S/A ON,Light SA,BRL,LIGT3
BRLLISACNOR4,brazil,LE LIS BLANC ON,LE LIS BLANC ON NM,BRL,LLIS3
BRLOGNACNOR3,brazil,LOG-IN ON,Log-in Logistica Intermodal SA,BRL,LOGN3
BRLPSBACNOR0,brazil,LOPES BRASIL ON,LPS Brasil Consultoria de Imoveis,BRL,LPSB3
BRLRENACNOR1,brazil,LOJAS RENNER ON,Lojas Renner SA,BRL,LREN3
BRLUPAACNOR8,brazil,LUPATECH ON,Lupatech SA,BRL,LUPA3
BRMDIAACNOR7,brazil,M.DIASBRANCO ON,M Dias Branco SA,BRL,MDIA3
BRMGELACNPR3,brazil,MANGELS INDL PN,Mangels Industrial SA,BRL,MGEL4
BRMGLUACNOR2,brazil,MAGAZ LUIZA ON,Magazine Luiza SA,BRL,MGLU3
BRMILSACNOR2,brazil,MILLS ON,MILLS ON EJ NM,BRL,MILS3
BRMMXMACNOR2,brazil,MMX MINER ON,MMX Mineracao e Metalicos SA,BRL,MMXM3
BRENEVACNOR8,brazil,ENEVA ON NM,Eneva SA,BRL,ENEV3
BRMRFGACNOR0,brazil,MARFRIG ON,Marfrig Alimentos SA,BRL,MRFG3
BRMRVEACNOR2,brazil,MRV ON,MRV Engenharia e Participacoes SA,BRL,MRVE3
BRMTIGACNPR7,brazil,METAL IGUACU PN,Metalgrafica Iguacu SA,BRL,MTIG4
BRMULTACNOR5,brazil,MULTIPLAN ON,Multiplan SA,BRL,MULT3
BRMYPKACNOR7,brazil,IOCHP-MAXION ON,Iochpe-Maxion SA,BRL,MYPK3
BRNATUACNOR6,brazil,NATURA ON,Natura Cosmeticos SA,BRL,NATU3
BRODPVACNOR4,brazil,ODONTOPREV ON,Odontoprev SA,BRL,ODPV3
BROSXBACNOR8,brazil,OSX BRASIL ON,OSX Brasil SA,BRL,OSXB3
BRPCARACNPR0,brazil,P.ACUCAR-CBD PN,Companhia Brasileira deDistribuicao,BRL,PCAR4
BRPDGRACNOR8,brazil,PDG REALT ON,PDG Realty SA,BRL,PDGR3
BRPETRACNOR9,brazil,PETROBRAS ON,Petroleo Brasileiro SA,BRL,PETR3
BRPETRACNPR6,brazil,PETROBRAS PN,Petroleo Brasileiro SA PN,BRL,PETR4
BRPFRMACNOR1,brazil,PROFARMA ON,PROFARMA ON NM,BRL,PFRM3
BRPINEACNPR8,brazil,PINE PN,Banco Pine SA,BRL,PINE4
BRPLASACNOR2,brazil,PLASCAR PART ON,Plascar Participacoes Industriais,BRL,PLAS3
BRPMAMACNOR3,brazil,PARANAPANEMA ON,Paranapanema SA,BRL,PMAM3
BRPOMOACNOR0,brazil,MARCOPOLO ON,Marcopolo SA,BRL,POMO3
BRPOMOACNPR7,brazil,MARCOPOLO PN,Marcopolo SA,BRL,POMO4
BRPOSIACNOR9,brazil,POSITIVO INF ON,Positivo Informatica SA,BRL,POSI3
BRPSSAACNOR7,brazil,PORTO SEGURO ON,Porto Seguro SA,BRL,PSSA3
BRPTBLACNOR8,brazil,PORTOBELLO ON,Portobello SA,BRL,PTBL3
BRPTNTACNPR3,brazil,PETTENATI PN,Pettenati SA Industria Textil,BRL,PTNT4
BRENATACNOR0,brazil,Enauta ON,Enauta Participacoes SA,BRL,ENAT3
BRQUALACNOR6,brazil,QUALICORP ON,Qualicorp SA,BRL,QUAL3
BRRAPTACNOR7,brazil,RANDON PART ON,Randon Participacoes SA,BRL,RAPT3
BRRAPTACNPR4,brazil,RANDON PART PN,Randon Participacoes SA,BRL,RAPT4
BRRDNIACNOR9,brazil,RODOBENSIMOB ON,Rodobens Negocios Imobiliarios SA,BRL,RDNI3
BRRENTACNOR4,brazil,LOCALIZA ON,Localiza Rent a Car SA,BRL,RENT3
BRFRTAACNOR8,brazil,Pomifrutas,Pomifrutas SA,BRL,FRTA3
BRRNEWCDAM15,brazil,RENOVA UNT,Renova Energia SA Unit,BRL,RNEW11
BRROMIACNOR8,brazil,INDS ROMI ON,Industrias Romi SA,BRL,ROMI3
BRRSIDACNOR8,brazil,ROSSI RESID ON,Rossi Residencial SA,BRL,RSID3
BRSANBCDAM13,brazil,SANTANDER BR UNT,Banco Santander Brasil SA Unit,BRL,SANB11
BRSBSPACNOR5,brazil,SABESP ON,Cia de Saneamento Basico do Estado,BRL,SBSP3
BRSCARACNOR7,brazil,SAO CARLOS ON,SAO CARLOS ON NM,BRL,SCAR3
BRSGPSACNOR4,brazil,SPRINGS ON,Springs Global Participacoes SA,BRL,SGPS3
BRSHOWACNOR7,brazil,TIME FOR FUN ON,T4F Entretenimento SA,BRL,SHOW3
BRSLCEACNOR2,brazil,SLC AGRICOLA ON,SLC Agricola SA,BRL,SLCE3
BRSLEDACNPR7,brazil,SARAIVA LIVR PN,Saraiva SA Livreiros Editores,BRL,SLED4
BRSMTOACNOR3,brazil,SAO MARTINHO ON,Sao Martinho SA,BRL,SMTO3
BRSULACDAM12,brazil,SUL AMERICA UNT,Sul America SA,BRL,SULA11
BREGIEACNOR9,brazil,ENGIE BRASILON NM,Engie Brasil Energia SA,BRL,EGIE3
BRTCSAACNOR3,brazil,TECNISA ON,Tecnisa SA,BRL,TCSA3
BRTECNACNOR6,brazil,TECHNOS ON,Technos SA,BRL,TECN3
BRTEKAACNPR3,brazil,TEKA PN,Teka Tecelagem Kuehnrich SA,BRL,TEKA4
BRTGMAACNOR7,brazil,TEGMA ON,Tegma Gestao Logistica,BRL,TGMA3
BRTIMPACNOR1,brazil,TIM PART S/A ON,Tim Participacoes SA,BRL,TIMP3
BRTOTSACNOR8,brazil,TOTVS ON,Totvs SA,BRL,TOTS3
BRTPISACNOR8,brazil,TRIUNFO PART ON,TRIUNFO PART ON NM,BRL,TPIS3
BRTRISACNOR4,brazil,TRISUL ON,Trisul SA,BRL,TRIS3
BRTAEECDAM10,brazil,TAESA UNT,TAESA UNT N2,BRL,TAEE11
BRTRPLACNPR1,brazil,TRAN PAULIST PN,CTEEP Cia de Transmissao de Energia,BRL,TRPL4
BRTRPNACNOR0,brazil,TARPON INV ON,Tarpon Investimentos SA,BRL,TRPN3
BRUGPAACNOR8,brazil,ULTRAPAR ON NM,Ultrapar Participacoes SA,BRL,UGPA3
BRUNIPACNOR7,brazil,UNIPAR ON,Unipar Carbocloro SA,BRL,UNIP3
BRUNIPACNPB8,brazil,UNIPAR PNB,Unipar Carbocloro SA,BRL,UNIP6
BRUSIMACNOR3,brazil,USIMINAS ON,Usinas Siderurgicas de Minas Gerais,BRL,USIM3
BRUSIMACNPA6,brazil,USIMINAS PNA,Usinas Siderurgicas de Minas Gerais,BRL,USIM5
BRTESAACNOR9,brazil,TERRA SANTA ON,Terra Santa Agro SA,BRL,TESA3
BRVALEACNOR0,brazil,VALE ON,Vale SA,BRL,VALE3
BRVIVRACNOR4,brazil,VIVER ON,Viver Incorporadora e Construtora,BRL,VIVR3
BRVIVTACNOR0,brazil,TELEF BRASIL ON,Telefonica Brasil SA,BRL,VIVT3
BRVIVTACNPR7,brazil,TELEF BRASIL PN,Telefonica Brasil SA,BRL,VIVT4
BRVLIDACNOR5,brazil,VALID ON,VALID ON NM,BRL,VLID3
BRWEGEACNOR0,brazil,WEG ON,WEG SA,BRL,WEGE3
BRBRSRACNPA6,brazil,BANRISUL PNA,BANRISUL PNA N1,BRL,BRSR5
BRCESPACNPA6,brazil,CESP PNA,Cia Energetica de Sao Paulo,BRL,CESP5
BRELPLACNOR9,brazil,ELETROPAULO ON,ELETROPAULO ON N2,BRL,ELPL3
BRSANBACNPR5,brazil,SANTANDER BRPN,Banco Santander Brasil SA,BRL,SANB4
BRSTBPACNOR3,brazil,Santos Brasil Participacoes,Santos Brasil Participacoes SA,BRL,STBP3
BRCCXCACNOR5,brazil,CCX CARVAO ON,CCX Carvao da Colombia SA,BRL,CCXC3
BRCESPACNOR3,brazil,CESP ON,Cia Energetica de Sao Paulo,BRL,CESP3
BRCGRAACNOR2,brazil,GRAZZIOTIN ON,Grazziotin SA,BRL,CGRA3
BRCLSCACNPR3,brazil,CELESC PN,Celesc SA,BRL,CLSC4
BRCOCEACNOR0,brazil,COELCE ON,Cia Energetica do Ceara,BRL,COCE3
BRTASAACNOR7,brazil,Taurus Armas ON,Taurus Armas ON,BRL,TASA3
BRCOGNACNOR2,brazil,Cogna Educacao,Cogna Educacao,BRL,COGN3
